,title,timestamp,reporter
0,"尹대통령 ""ADB 회원국과 함께 세계 공동 번영 '연대의 길' 걷겠다""",2023.05.03. 오후 12:13,허주열 기자
1,"윤 대통령 ""국가·계층 간 확대되는 디지털 격차, 함께 해결해야""",2023.05.03. 오후 12:17,유창재 기자
2,"尹 ""반도체·이차전지·바이오, 亞 국가 공급망 구축 적극 참여""(종합)",2023.05.03. 오전 11:33,최동현 기자
3,"尹, ADB 연차총회서 ""인태 경제·개발 협력 적극 기여하겠다""",2023.05.03. 오후 12:34,정시내 기자
4,"尹 ""인태 지역 경제·개발 협력 적극 기여…협력 공급망 구축""",2023.05.03. 오전 11:55,박정환 기자
5,윤 대통령 “한국 성장경험 공유”… 내년 서울에 ‘기후기술 K-허브’ 설립,2023.05.03. 오전 11:58,전세원 기자
6,"尹 ""韓 경제성장 경험·디지털 역량 공유…인태 개발에 기여""(종합)",2023.05.03. 오후 12:07,박미영 기자
7,"尹, ADB 총회 참석…""韓, 인태지역 경제협력 적극 기여""",2023.05.03. 오전 11:54,김보선 기자
8,"윤석열 대통령, ADB총회 참석…금융그룹 CEO '총출동'(종합)",2023.05.03. 오후 12:35,김효숙 기자
9,"윤 대통령, ADB 연차총회서 ""국가 간 견고한 협력·연대 필요""",2023.05.03. 오전 11:32,이호준 기자
10,"尹대통령 ADB연차총회 참석…""아시아 번영 위해 적극 기여 외교 수행""",2023.05.03. 오전 11:34,김미경 기자
11,尹대통령 “인태지역 경제·개발 적극 기여…기후·디지털 ODA 확대”,2023.05.03. 오전 11:39,정윤희 기자
12,"尹 ""인도·태평양 개발에 적극 기여…협력적 공급망 구축""",2023.05.03. 오전 11:33,이동환 기자
13,尹대통령 “팬데믹 후 공급망 분절 등 도전 직면...새 협력 모델 만들어야”(종합),2023.05.03. 오전 11:13,김문관 기자
14,"정부·ADB, 서울에 ‘기후기술허브’ 설립…ADB 첫 한국사무소",2023.05.03. 오후 12:40,공민경 기자
15,"尹 ""ADB 회원국 중심, 국가간 연대·협력 새 모델 만들기 기대""",2023.05.03. 오전 11:38,서영준 기자
16,윤 대통령 “반도체·이차전지 핵심 파트너로 공급망 구축 참여”,2023.05.03. 오전 11:47,배지현 기자
17,ADB 총재 '기후행동' 연일 강조…尹 노래 언급하며 감사도 표해,2023.05.03. 오후 12:18,최현만 기자
18,"尹, 글로벌 경제 불안에 ""국가 간 협력·연대 필요""",2023.05.03. 오전 11:36,배경환 기자
19,"추경호 ""ADB에 경험 공유·재정 지원…글로벌 저성장 회복해야""",2023.05.03. 오전 11:45,용윤신 기자
20,尹 대통령 “ADB와 회원국 중심 연대·협력 새 모델 만들어야”,2023.05.03. 오전 11:27,박태진 기자
21,"尹대통령, ADB 총회서 ""기후변화·디지털격차, 적극적 기여 외교""",2023.05.03. 오전 11:40,박종진 기자
22,"윤 대통령 ADB 총회 참석‥""인도·태평양 개발에 적극 기여하겠다""",2023.05.03. 오전 11:52,조희형 기자
23,"尹, ADB 연차총회서 ""인태 경제·개발 협력 적극 기여하겠다""",2023.05.03. 오전 11:45,김지현 기자
24,"尹, 아시아개발은행 연차총회서 ""인태 경제·개발에 기여할 것""",2023.05.03. 오전 11:09,양소리 기자
25,"尹대통령 ""ADB 중심 연대와 협력 모델 만들어나가길""",2023.05.03. 오전 11:12,나연준 기자
26,아사카와 총재 “인천은 기후변화 대응 선도도시” [제56회 ADB 연차총회],2023.05.02. 오후 6:32,김지혜 기자
27,[속보]尹 “韓·ADB 공동으로 기후기술허브 설치…민관 함께 문제 해결하는 플랫폼”,2023.05.03. 오전 11:15,주재현 기자
28,ADB·한국 'K-허브' 내년 서울 설립…기후 네트워크 거점 만든다,2023.05.03. 오전 10:30,김다혜 기자
29,"ADB 총재 ""새 기후금융프로그램 '이프캡' 출범…韓경제, 낙관적""",2023.05.02. 오후 1:29,박광범 기자
30,기후기술허브(K-Hub) 서울에 생긴다...사업규모 1000억불까지 확대,2023.05.03. 오전 10:31,이창훈 기자
31,"ADB 총재 ""기후재해 연 피해액 670억달러…아태 지역 GDP 앞지를 것""",2023.05.02. 오전 10:53,하상렬 기자
32,"[현장연결] 4년 만에 한 곳에…아시아 경제수장, 송도로 '총출동'",2023.05.02. 오전 11:53,정윤형 기자
33,[속보]尹 “ADB 회원국 중심 연대·협력 새 모델 만들자”,2023.05.03. 오전 11:13,주재현 기자
34,ADB 기후기술허브(K-Hub) 한국에 설치한다,2023.05.03. 오전 10:32,이태형 기자
35,ADB 총재 “기후금융프로그램 ‘이프캡’ 출범...韓경제 낙관”,2023.05.02. 오전 11:28,김현경 기자
36,"韓·ADB, 서울에 '기후 싱크탱크' 세운다…내년 개소",2023.05.03. 오전 10:37,이준형 기자
37,"[ADB 연차총회]아사카와 ADB 총재 “기후변화 대응 성패, 아태지역에 달려”",2023.05.02. 오후 1:06,최다현 기자
38,ADB·한국 'K-허브' 내년 서울 설립…기후 네트워크 거점 만든다,2023.05.03. 오전 10:40,황상욱 기자
39,"尹 대통령, ADB총회 개회식 방문…금융그룹 CEO 참석",2023.05.03. 오전 11:13,김효숙 기자
40,"尹 대통령,“ADB와 회원국 중심, 국가간 연대·협력이필요”",2023.05.03. 오전 11:52,강해인 기자
41,"韓-ADB, K-Hub 설립 합의…내년 개소 목표",2023.05.03. 오전 10:33,박진석 기자
42,"""오늘 아시아개발은행 연차총회 개막""...한·중·일 재무장관 회의",2023.05.02. 오후 3:02,강준완 기자
43,"[ADB2023] ""新기후금융지원기구, '이프캡' 출범""",2023.05.02. 오전 11:12,조성진 기자
44,"ADB 총회, 나흘간 송도서 개최…역대 최대 규모 예상",2023.05.02. 오전 11:10,공민경 기자
45,한국에 '기후기술허브' 설립…ADB 1000억달러 프로젝트 '마중물' 기대,2023.05.03. 오전 11:01,이준희 기자
46,"韓·ADB, 서울에 기후 네트워크 거점 설립",2023.05.03. 오전 11:05,이동우 기자
47,"ADB·韓, 세계 기후 네트워크 거점 ‘K-허브’ 내년 서울 설립",2023.05.03. 오전 11:38,박소정 기자
48,"""韓, 기후 네트워크 거점된다""...내년 서울에 'ADB 기후기술허브'",2023.05.03. 오전 10:51,김은비 기자
